"Hero_id","Radiant_count","Dire_count","Radiant_winrate","Dire_winrate"
"0",3,3,0.136363636363636,0.2
"1",2245,2105,0.484149234418805,0.442319815087203
"2",1042,957,0.454823221300742,0.414285714285714
"3",624,578,0.4875,0.454045561665357
"4",704,638,0.469646430953969,0.437886067261496
"5",2229,2006,0.562168978562421,0.516877093532595
"6",681,654,0.518659558263519,0.505019305019305
"7",3044,2656,0.521411442274752,0.484229717411121
"8",2692,2670,0.524041269223282,0.50789423625642
"9",1964,1789,0.539708711184391,0.500980117614114
"10",335,331,0.446666666666667,0.42764857881137
"11",4785,4000,0.531194493783304,0.500062507813477
"12",874,759,0.471667566109012,0.42237061769616
"13",377,366,0.435838150289017,0.408482142857143
"14",2475,2177,0.514018691588785,0.469991364421416
"15",486,471,0.50625,0.445600756859035
"16",768,721,0.489171974522293,0.456329113924051
"17",510,490,0.428571428571429,0.402629416598192
"18",932,824,0.535632183908046,0.48187134502924
"19",1317,1223,0.503440366972477,0.454815916697657
"20",1159,1071,0.542602996254682,0.520408163265306
"21",5168,4858,0.500581170089113,0.460168608506204
"22",1315,1232,0.581858407079646,0.528982395878059
"23",638,523,0.487022900763359,0.424168694241687
"25",1832,1705,0.451009354997538,0.406630097782018
"26",1821,1634,0.492295214922952,0.443660059733913
"27",1002,898,0.561659192825112,0.497506925207756
"28",3141,3113,0.576859504132231,0.542712691771269
"29",596,583,0.498327759197324,0.48421926910299
"30",1945,1808,0.532730758696248,0.492643051771117
"31",1312,1313,0.574682435392028,0.546173044925125
"32",1180,1109,0.580708661417323,0.526091081593928
"33",625,642,0.500801282051282,0.482344102178813
"34",604,563,0.456883509833585,0.437111801242236
"35",885,795,0.457364341085271,0.424226254002134
"36",1739,1625,0.590291921249151,0.537545484617929
"37",518,486,0.566120218579235,0.50836820083682
"38",338,320,0.520801232665639,0.522875816993464
"39",2450,2294,0.472061657032755,0.424814814814815
"40",815,769,0.540809555408095,0.509946949602122
"41",733,684,0.463630613535737,0.424317617866005
"42",2333,2185,0.597286226318484,0.561985596707819
"43",451,405,0.518390804597701,0.475910693301998
"44",1788,1620,0.486795534985026,0.449126698087053
"45",374,365,0.490813648293963,0.480263157894737
"46",1601,1450,0.531893687707641,0.478232189973615
"47",976,896,0.523324396782842,0.490958904109589
"48",633,603,0.556239015817223,0.486290322580645
"49",498,449,0.514462809917355,0.471638655462185
"50",2254,2186,0.545366561819502,0.511943793911007
"51",1118,1009,0.50887573964497,0.479562737642586
"52",290,273,0.469255663430421,0.449013157894737
"53",670,687,0.411295273173726,0.400583090379009
"54",602,577,0.481215027977618,0.432533733133433
"55",1078,1072,0.519267822736031,0.500233317778815
"56",651,532,0.504260263361735,0.447811447811448
"57",1562,1486,0.60849240358395,0.572860447185813
"58",230,185,0.426716141001855,0.387840670859539
"59",906,948,0.486312399355878,0.494007295466389
"60",831,725,0.5357833655706,0.492527173913043
"61",298,315,0.414464534075104,0.410691003911343
"62",1748,1632,0.521479713603819,0.474280732345248
"63",619,565,0.489715189873418,0.43394777265745
"64",719,669,0.525200876552228,0.485134155184917
"65",229,235,0.459839357429719,0.422661870503597
"66",130,141,0.481481481481481,0.456310679611651
"67",2100,1786,0.606761051719156,0.558299468583933
"68",1759,1602,0.520260278024253,0.47508896797153
"69",2187,2034,0.550327126321087,0.513118062563068
"70",1196,1248,0.575553416746872,0.561151079136691
"71",2040,1936,0.556009811937858,0.531576057111477
"72",1717,1680,0.505892751915144,0.48526863084922
"73",2661,2434,0.536167640539996,0.50082304526749
"74",2953,2780,0.507039835164835,0.475051264524949
"75",1996,1802,0.551838540226707,0.499584141946216
"76",372,344,0.48062015503876,0.435443037974684
"77",257,242,0.504911591355599,0.508403361344538
"78",238,226,0.508547008547009,0.488120950323974
"79",292,277,0.411847672778561,0.403790087463557
"80",206,213,0.416161616161616,0.451271186440678
"81",603,560,0.518932874354561,0.473773265651438
"82",404,387,0.47196261682243,0.475429975429975
"83",472,433,0.532130777903044,0.506432748538012
"84",1175,1063,0.541724296911019,0.486721611721612
"85",1779,1606,0.592802399200267,0.544406779661017
"86",1936,1778,0.472771672771673,0.434931506849315
"87",1298,1196,0.539260490236809,0.510456679470764
"88",684,615,0.502202643171806,0.459297983569828
"89",227,225,0.463265306122449,0.440313111545988
"90",511,516,0.470967741935484,0.476894639556377
"91",389,371,0.474390243902439,0.424485125858124
"92",243,252,0.5203426124197,0.475471698113208
"93",2080,2007,0.497965046684223,0.472346434455166
"94",641,593,0.540928270042194,0.50468085106383
"95",434,410,0.5,0.461711711711712
"96",498,464,0.537796976241901,0.498388829215897
"97",808,726,0.470040721349622,0.424065420560748
"98",689,618,0.472889498970487,0.418415707515234
"99",1019,942,0.485469271081467,0.455512572533849
"100",2788,2481,0.535433070866142,0.486565993332026
"101",686,624,0.453104359313078,0.426812585499316
"102",1011,871,0.599644128113879,0.536330049261084
"103",209,219,0.507281553398058,0.514084507042254
"104",2249,2054,0.506303466906799,0.448178049312677
"105",279,277,0.467336683417085,0.433489827856025
"106",1873,1729,0.505669546436285,0.451553930530165
"107",739,718,0.528234453180843,0.50958126330731
"109",398,403,0.536388140161725,0.49814585908529
"110",819,765,0.536697247706422,0.508982035928144
"111",250,230,0.49800796812749,0.453648915187377
"112",2058,1895,0.530549110595514,0.496333158721844
